obs,Y,PR,PN,Eink,T,l_Y,lX2_lX3,l_T,l_PR,l_PN,l_Eink,RelP,l_RelP,yhat1,yhat4,yhat5,yhat8,Z1,Z3,Z2,Z4
1971Q3,11484,2.26,3.49,158.11,1,9.34871004124095,-0.434536922930141,0,0.815364813284194,1.24990173621434,5.06329099332205,0.64756446991404,-0.434536922930141,11011.6835144061,10943.9172185163,9.46672445669411,9.34887732497072,-0.160012330909437,-0.0483382492345577,1910.80614273799,542.004028528545
1971Q4,9348,2.54,2.85,173.36,2,9.14291769565875,-0.115154913250114,0.693147180559945,0.932164081030445,1.04731899428056,5.1553703572281,0.891228070175439,-0.115154913250114,8150.90761654656,9417.84522957849,8.9896574596155,9.13871994649355,0.0162271044123372,0.0116416507048118,-131.198266065126,-109.003542885281
1972Q1,8429,3.07,4.06,165.26,3,9.03943341999748,-0.279505412014535,1.09861228866811,1.12167756159911,1.40118297361364,5.10751999127304,0.75615763546798,-0.279505412014535,9552.79844696336,9502.7506450616,9.13007724329767,9.0926883196994,0.0345121783475157,0.0666482575655909,-324.06364740073,-612.697383210079
1972Q2,10079,2.91,3.64,172.92,4,9.21820933035488,-0.223830600465248,1.38629436111989,1.0681530811834,1.29198368164865,5.15282905979943,0.799450549450549,-0.223830600465248,8975.54404618221,9184.43177302826,9.07801581883145,9.09690882608755,0.0242430106468561,0.0283563049803934,-214.977826150747,-256.778695275207
1972Q3,9240,2.73,3.21,178.46,5,9.13129716463573,-0.161969327945056,1.6094379124341,1.00430160919687,1.16627093714192,5.18436448647201,0.850467289719626,-0.161969327945056,8445.78104291586,8884.83564525596,9.02201293687496,9.08514958707739,0.0194093739300367,0.00695165533868902,-162.346701848446,-61.5501296331622
1972Q4,8862,2.77,3.66,198.62,6,9.08952775175944,-0.278615827214028,1.79175946922805,1.01884732019925,1.29746314741327,5.29139345147521,0.756830601092896,-0.278615827214028,9561.35648255346,9288.00607563939,9.17217070112076,9.25824858770086,-0.00668581366046617,-0.121769410184735,64.1396216424528,1202.73754811395
1973Q1,6216,3.59,3.76,186.28,7,8.73488189204748,-0.0462667549016156,1.94591014905531,1.27815220250019,1.3244189574018,5.22725091811418,0.954787234042553,-0.0462667549016157,6741.48115480227,7311.47063057776,8.75172244327142,8.87048393600433,0.0643124923975229,0.026715777158973,-419.913877757462,-192.745483451466
1973Q2,8253,3.23,3.49,188.98,8,9.01833204959268,-0.0774195989797708,2.07944154167984,1.17248213723457,1.24990173621434,5.24164118935448,0.925501432664756,-0.0774195989797707,7342.95365630136,7595.20019887213,8.83794109516958,8.92569000262726,0.0635553509862543,0.00958177135371585,-452.163113246947,-72.4279236540642
1973Q3,8038,2.6,3.13,180.49,9,8.99193557500915,-0.185521559524625,2.19722457733622,0.955511445027436,1.14103300455206,5.19567537457616,0.830670926517572,-0.185521559524625,8712.24635113423,8297.50061963885,9.07410544691758,9.01624614470889,-0.00162050548530956,0.00746347356301236,14.1296885281663,-61.697650723876
1973Q4,7476,2.89,3.2,183.33,10,8.91945316857545,-0.10189430768134,2.30258509299405,1.06125650212434,1.16315080980568,5.21128780757493,0.903125,-0.10189430768134,7812.47720902979,7559.48998090467,8.91755107446878,8.89666262830777,0.0459263023274339,0.0338963757467887,-350.68374919988,-251.94517612909
1974Q1,5911,3.77,3.65,181.87,11,8.68457030082437,0.0323478338655192,2.39789527279837,1.32707500145992,1.2947271675944,5.20329214613893,1.03287671232877,0.0323478338655193,5751.00823546325,5955.55058573246,8.62580266602479,8.6432250718249,0.0313277976933701,0.0488538634122015,-177.373554694559,-283.958934539874
1974Q2,7950,3.64,3.6,185,12,8.98092720764838,0.0110498361865852,2.484906649788,1.29198368164865,1.28093384546206,5.22035582507832,1.01111111111111,0.0110498361865849,6101.93109493747,6004.8608998575,8.66910861488171,8.66369608603689,0.0472519581216169,0.0366284841551998,-281.622195150978,-215.969489144851
1974Q3,6134,2.82,2.94,184,13,8.7216023446742,-0.041672696400568,2.56494935746154,1.03673688495002,1.07840958135059,5.21493575760899,0.959183673469388,-0.0416726964005681,7345.26546591274,6802.14235556451,8.8471886481179,8.77670906089366,0.0546225822348774,0.0482838329408839,-390.456421437973,-320.630579617436
1974Q4,5868,2.96,3.12,188.2,14,8.67726913926287,-0.0526437334854222,2.63905732961526,1.08518926833597,1.13783300182139,5.23750522715128,0.948717948717949,-0.052643733485422,7322.50337124717,6544.45776437047,8.84149190262911,8.75975186465135,0.0572156364683298,0.0266219629528237,-407.20146592019,-171.927632563336
1975Q1,3160,4.24,3.58,175.67,15,8.05832730658096,0.169200468831257,2.70805020110221,1.44456326924387,1.27536280041261,5.16860723502529,1.18435754189944,0.169200468831258,3776.30862276394,3992.39537920441,8.39299481771612,8.33094615358571,-0.156492561067159,-0.0387994781718994,639.714471913003,157.947177430769
1975Q2,5872,3.69,3.53,188,16,8.67795057029435,0.0443285871072303,2.77258872223978,1.30562645805244,1.26129787094521,5.23644196282995,1.04532577903683,0.0443285871072305,5715.75368884023,5035.14499819731,8.61877963252568,8.53134141748691,0.0322018140701132,-0.00714381469581404,-181.125698173664,36.098931348939
